trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2110,False,"{'a': 0.4, 'e': 0.4932277302099105}",20,11,15.474585997430427,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2111,False,"{'a': 0.4, 'e': 0.4927927184607185}",20,0,-16.099815217474188,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
2112,False,"{'a': 0.4, 'e': 0.4923575835133496}",20,13,15.335623535465244,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2113,False,"{'a': 0.4, 'e': 0.4919223254765873}",20,0,-43.03213316706533,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
2114,False,"{'a': 0.4, 'e': 0.4914869444592463}",25,3,-134.20027308291358,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 3}",1
2115,False,"{'a': 0.4, 'e': 0.49105144057017147}",20,12,-5.65738023049051,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
2116,False,"{'a': 0.4, 'e': 0.49061581391823933}",20,0,-16.69291851286181,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
2117,False,"{'a': 0.4, 'e': 0.4901800646123562}",20,16,6.637288654151613,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2118,False,"{'a': 0.4, 'e': 0.48974419276145953}",30,5,1.5989199247845924,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",1
2119,False,"{'a': 0.4, 'e': 0.48930819847451695}",25,6,-45.00990534443639,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
2120,False,"{'a': 0.4, 'e': 0.48887208186052755}",25,7,-13.349409006519311,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
2121,False,"{'a': 0.4, 'e': 0.4884358430285202}",20,5,-11.370904336043633,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
2122,False,"{'a': 0.4, 'e': 0.48799948208755467}",30,0,-94.37836106792219,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
2123,False,"{'a': 0.4, 'e': 0.48756299914672097}",20,5,-26.97581707785134,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
2124,False,"{'a': 0.4, 'e': 0.4871263943151402}",20,7,-52.49882177760434,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
